Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
242	V570_Per A	1.447	0.009	0.009	1.521	0.034	0.034	6842	50	50	4.55	0.247	0.247	0.02	0.03	0.03	4.234	0.019	0.019	NA	NA	NA	3.3091852	MS	F	NA	torres10	0.621976503109882	2.2353714661407	0.730780473545747	5.42857142857143	EB
243	V570_Per B	1.347	0.008	0.008	1.386	0.019	0.019	6562	50	50	3.199	0.135	0.135	0.02	0.03	0.03	4.284	0.012	0.012	NA	NA	NA	3.4927252	MS	F	NA	torres10	0.593912397921307	1.37085137085137	0.761962816214569	4.22006877149109	EB
244	V624_Her A	2.277	0.014	0.014	3.028	0.03	0.03	8150	150	150	36.308	2.957	2.957	NA	NA	NA	3.83	0.02	0.02	NA	NA	NA	2.4517912	MS	A	NA	eker14	0.614844093104963	0.990752972258917	1.84049079754601	8.14421064228269	EB
245	V624_Her B	1.876	0.013	0.013	2.208	0.03	0.03	7945	150	150	17.458	1.509	1.509	NA	NA	NA	4.02	0.02	0.02	NA	NA	NA	2.5861687	MS	A	NA	eker14	0.692963752665245	1.35869565217391	1.88797986154814	8.6436017871463	EB
246	V636_Cen A	1.052	0.005	0.005	1.024	0.004	0.004	5900	85	85	1.14	0.07	0.07	-0.2	0.08	0.08	4.444	0.004	0.004	NA	NA	NA	3.9266662	MS	G	NA	eker14	0.475285171102662	0.390625	1.44067796610169	6.14035087719298	EB
247	V636_Cen B	0.854	0.003	0.003	0.835	0.004	0.004	5000	100	100	0.391	0.034	0.034	-0.2	0.08	0.08	4.532	0.005	0.005	NA	NA	NA	4.5166162	MS	K	NA	eker14	0.351288056206089	0.479041916167665	2	8.69565217391304	EB
248	V731_Cep A	2.577	0.098	0.098	1.823	0.03	0.03	10700	200	200	39.084	3.476	3.476	NA	NA	NA	4.304	0.011	0.011	NA	NA	NA	0.7802662	MS	B	NA	eker14	3.80287155607295	1.64563905650027	1.86915887850467	8.89366492682428	EB
249	V731_Cep B	2.017	0.084	0.084	1.717	0.025	0.025	9265	220	220	19.498	2.129	2.129	NA	NA	NA	4.273	0.011	0.011	NA	NA	NA	1.7209087	MS	A	NA	eker14	4.16460089241448	1.45602795573675	2.37452779276848	10.9190686224228	EB
250	V805_Aql A	2.11	0.04	0.04	2.11	0.12	0.12	8185	585	585	17.783	1.272	1.272	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4288487	MS	A	NA	malkov07	1.8957345971564	5.68720379146919	7.14722052535125	7.15289883596693	EB
251	V805_Aql B	1.63	0.02	0.02	1.75	0.12	0.12	7178	513	513	7.244	0.518	0.518	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0889372	MS	F	NA	malkov07	1.22699386503067	6.85714285714286	7.14683755920869	7.1507454445058	EB
252	V819_Her A	1.53	0.08	0.08	1.866	0.024	0.024	6761	483	483	7.311	0.487	0.487	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3622807	MS	F	NA	malkov07	5.22875816993464	1.28617363344051	7.14391362224523	6.66119545889755	EB
253	V819_Her B	1.11	0.02	0.02	1.263	0.029	0.029	6166	1078	1078	1.977	0.605	0.605	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7523032	MS	F	NA	malkov07	1.8018018018018	2.29612034837688	17.4829711320143	30.6019221041983	EB
254	V821_Cas A	1.996	0.166	0.166	2.296	0.109	0.109	9400	400	400	36.983	8.937	8.937	NA	NA	NA	4.02	0.1	0.1	NA	NA	NA	1.6324162	MS	A	NA	eker14	8.31663326653307	4.74738675958188	4.25531914893617	24.1651569640105	EB
255	V821_Cas B	1.597	0.187	0.187	1.382	0.119	0.119	8450	380	380	8.75	2.891	2.891	NA	NA	NA	4.36	0.12	0.12	NA	NA	NA	2.2551412	MS	A	NA	eker14	11.7094552285535	8.61070911722142	4.49704142011834	33.04	EB
256	V885_Cyg A	2.005	0.029	0.029	2.345	0.012	0.012	8375	150	150	27.29	1.95	1.95	NA	NA	NA	4	0.007	0.007	NA	NA	NA	2.3043037	MS	A	NA	eker14	1.44638403990025	0.511727078891258	1.7910447761194	7.1454745327959	EB
257	V885_Cyg B	2.234	0.026	0.026	3.385	0.026	0.026	8150	150	150	51.05	3.78	3.78	NA	NA	NA	3.728	0.008	0.008	NA	NA	NA	2.4517912	MS	A	NA	eker14	1.16383169203223	0.768094534711965	1.84049079754601	7.40450538687561	EB
258	V994_Her-A A	2.828	0.2	0.2	2.123	0.049	0.049	12000	250	250	83.946	8.737	8.737	NA	NA	NA	4.23	0.05	0.05	NA	NA	NA	-0.0718838000000002	MS	B	NA	eker14	7.07213578500707	2.30805463966086	2.08333333333333	10.4078812569985	EB
259	V994_Her-A B	2.299	0.16	0.16	1.688	0.039	0.039	9450	90	90	20.417	1.31	1.31	NA	NA	NA	4.33	0.05	0.05	NA	NA	NA	1.5996412	MS	A	NA	eker14	6.95954762940409	2.31042654028436	0.952380952380952	6.416221775971	EB
260	V994_Her-B A	1.868	0.12	0.12	1.583	0.08	0.08	9000	250	250	14.757	2.621	2.621	NA	NA	NA	4.31	0.06	0.06	NA	NA	NA	1.8946162	MS	A	NA	eker14	6.42398286937901	5.05369551484523	2.77777777777778	17.7610625465881	EB
261	V994_Her-B B	1.859	0.12	0.12	1.493	0.08	0.08	8450	70	70	10.209	1.299	1.299	NA	NA	NA	4.36	0.07	0.07	NA	NA	NA	2.2551412	MS	A	NA	eker14	6.4550833781603	5.35833891493637	0.828402366863905	12.7240669997061	EB
262	VV_Pyx A	2.097	0.022	0.022	2.168	0.02	0.02	9500	200	200	34.356	3.055	3.055	NA	NA	NA	4.087	0.008	0.008	NA	NA	NA	1.5668662	MS	A	NA	torres10	1.04911778731521	0.922509225092251	2.10526315789474	8.89218768191873	EB
263	VV_Pyx B	2.095	0.019	0.019	2.168	0.02	0.02	9500	200	200	34.356	3.055	3.055	NA	NA	NA	4.087	0.008	0.008	NA	NA	NA	1.5668662	MS	A	NA	torres10	0.906921241050119	0.922509225092251	2.10526315789474	8.89218768191873	EB
264	VZ_Cep A	1.402	0.015	0.015	1.558	0.012	0.012	6670	160	160	4.315	0.46	0.46	0.06	0.09	0.09	4.213	0.008	0.008	NA	NA	NA	3.4219312	MS	F	NA	eker14	1.06990014265335	0.770218228498075	2.39880059970015	10.6604866743917	EB
265	VZ_Cep B	1.108	0.008	0.008	1.058	0.04	0.04	5720	120	120	1.076	0.137	0.137	0.06	0.09	0.09	4.446	0.033	0.033	NA	NA	NA	4.0446562	MS	G	NA	eker14	0.722021660649819	3.78071833648393	2.0979020979021	12.7323420074349	EB
266	VZ_Hya A	1.271	0.009	0.009	1.315	0.005	0.005	6645	150	150	3.027	0.3	0.3	-0.2	0.12	0.12	4.305	0.005	0.005	NA	NA	NA	3.4383187	MS	F	NA	eker14	0.708103855232101	0.380228136882129	2.25733634311512	9.91080277502478	EB
267	VZ_Hya B	1.12	0.03	0.03	1.12	0.03	0.03	6281	102	102	1.738	0.168	0.168	-0.2	0.12	0.12	NA	NA	NA	NA	NA	NA	3.6769207	MS	F	NA	malkov07	2.67857142857143	2.67857142857143	1.62394523165101	9.6662830840046	EB
268	WW_Aur A	1.964	0.007	0.007	1.928	0.011	0.011	7960	420	420	13.397	3.586	3.586	NA	NA	NA	4.162	0.007	0.007	NA	NA	NA	2.5763362	MS	A	NA	eker14	0.356415478615071	0.570539419087137	5.27638190954774	26.7671866835859	EB
269	WW_Aur B	1.814	0.007	0.007	1.842	0.011	0.011	7670	410	410	10.544	2.884	2.884	NA	NA	NA	4.167	0.007	0.007	NA	NA	NA	2.7664312	MS	A	NA	eker14	0.385887541345094	0.597176981541802	5.34550195567145	27.3520485584218	EB
270	WW_Cam A	1.92	0.013	0.013	1.913	0.016	0.016	8360	140	140	16.032	1.186	1.186	NA	NA	NA	4.159	0.008	0.008	NA	NA	NA	2.3141362	MS	A	NA	eker14	0.677083333333333	0.836382645060115	1.67464114832536	7.39770459081836	EB
271	WW_Cam B	1.873	0.018	0.018	1.81	0.014	0.014	8240	140	140	13.552	1.003	1.003	NA	NA	NA	4.196	0.009	0.009	NA	NA	NA	2.3927962	MS	A	NA	eker14	0.961025093432995	0.773480662983425	1.69902912621359	7.40112160566706	EB
272	WX_Cep A	2.533	0.05	0.05	3.996	0.03	0.03	8150	250	250	63.241	8.373	8.373	NA	NA	NA	3.638	0.005	0.005	NA	NA	NA	2.4517912	MS	A	NA	torres10	1.9739439399921	0.750750750750751	3.06748466257669	13.2398285922107	EB
273	WX_Cep B	2.324	0.045	0.045	2.712	0.023	0.023	8900	250	250	41.4	5.052	5.052	NA	NA	NA	3.938	0.006	0.006	NA	NA	NA	1.9601662	MS	A	NA	torres10	1.93631669535284	0.848082595870207	2.80898876404494	12.2028985507246	EB
274	WZ_Oph A	1.227	0.007	0.007	1.401	0.012	0.012	6165	100	100	2.547	0.182	0.182	-0.27	0.07	0.07	4.234	0.008	0.008	NA	NA	NA	3.7529587	MS	F	NA	eker14	0.570497147514262	0.856531049250535	1.6220600162206	7.14566156262269	EB
275	WZ_Oph B	1.22	0.006	0.006	1.419	0.012	0.012	6115	100	100	2.529	0.181	0.181	-0.27	0.07	0.07	4.221	0.008	0.008	NA	NA	NA	3.7857337	MS	F	NA	eker14	0.491803278688525	0.845665961945032	1.63532297628782	7.15697904310004	EB
276	XY_Cet A	1.773	0.016	0.016	1.876	0.035	0.035	7870	115	115	12.134	0.898	0.898	NA	NA	NA	4.142	0.016	0.016	NA	NA	NA	2.6353312	MS	A	NA	eker14	0.902425267907502	1.86567164179105	1.46124523506989	7.40069226965551	EB
277	XY_Cet B	1.615	0.014	0.014	1.776	0.029	0.029	7620	125	125	9.55	0.754	0.754	NA	NA	NA	4.179	0.014	0.014	NA	NA	NA	2.7992062	MS	A	NA	eker14	0.86687306501548	1.63288288288288	1.64041994750656	7.89528795811518	EB
278	XY_UMa A	1.097	0.073	0.073	1.161	0.02	0.02	5200	7	7	0.885	0.031	0.03	NA	NA	NA	4.34054218809756	0.0325438928297453	0.0325438928297453	NA	NA	NA	4.3855162	MS	G	NA	eker14	6.65451230628988	1.72265288544358	0.134615384615385	3.44632768361582	EB
279	XY_UMa B	0.665	0.031	0.031	0.63	0.01	0.01	4125	7	7	0.103	0.003	0.003	NA	NA	NA	4.65414054639594	0.0244940257411373	0.0244940257411373	NA	NA	NA	5.0901787	PMS	K	NA	eker14	4.66165413533835	1.58730158730159	0.16969696969697	2.9126213592233	EB
280	YY_Gem A	0.598	0.005	0.005	0.621	0.006	0.006	3820	100	100	0.074	0.009	0.009	NA	NA	NA	4.63	0.008	0.008	NA	NA	NA	5.2901062	PMS	K	NA	eker14	0.836120401337793	0.966183574879227	2.61780104712042	12.1621621621622	EB
281	YY_Gem B	0.601	0.005	0.005	0.605	0.006	0.006	3820	100	100	0.07	0.008	0.008	NA	NA	NA	4.655	0.008	0.008	NA	NA	NA	5.2901062	PMS	K	NA	eker14	0.831946755407654	0.991735537190083	2.61780104712042	11.4285714285714	EB
282	YZ_Cas A	2.308	0.01	0.01	2.547	0.03	0.03	9200	300	300	41.687	6.397	6.397	0.1	0.06	0.06	3.995	0.01	0.01	NA	NA	NA	1.7635162	MS	A	NA	eker14	0.433275563258232	1.17785630153121	3.26086956521739	15.3453114879939	EB
283	YZ_Cas B	1.347	0.01	0.01	1.359	0.02	0.02	6700	250	250	3.342	0.603	0.603	0.1	0.06	0.06	4.307	0.013	0.013	NA	NA	NA	3.4022662	MS	F	NA	eker14	0.742390497401633	1.47167034584253	3.73134328358209	18.0430879712747	EB
284	Z_Her A	1.611	0.07	0.07	1.859	0.06	0.06	6397	75	75	5.2	0.449	0.449	NA	NA	NA	4.11	0.03	0.03	NA	NA	NA	3.6008827	MS	F	NA	eker14	4.34512725015518	3.22754168908015	1.17242457401907	8.63461538461539	EB
285	Z_Her B	1.312	0.03	0.03	2.743	0.08	0.08	4977	175	175	4.15	0.748	0.748	NA	NA	NA	3.68	0.03	0.03	NA	NA	NA	4.5316927	PMS	K	NA	eker14	2.28658536585366	2.916514764856	3.51617440225035	18.0240963855422	EB
286	ZZ_Boo A	1.616	0.01	0.01	2.164	0.07	0.07	6670	30	30	8.318	0.595	0.595	NA	NA	NA	3.975	0.01	0.01	NA	NA	NA	3.4219312	MS	F	NA	eker14	0.618811881188119	3.23475046210721	0.449775112443778	7.15316181774465	EB
287	ZZ_Boo B	1.568	0.01	0.01	2.164	0.07	0.07	6670	30	30	8.318	0.595	0.595	NA	NA	NA	3.99	0.1	0.1	NA	NA	NA	3.4219312	MS	F	NA	eker14	0.637755102040816	3.23475046210721	0.449775112443778	7.15316181774465	EB
288	ZZ_Cep B	1.9	0.19	0.19	2.9	0.29	0.29	6501	338	338	13.49	0.965	0.965	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5327107	MS	F	NA	malkov07	10	10	5.19920012305799	7.15344699777613	EB
289	ZZ_UMa A	1.179	0.013	0.013	1.518	0.023	0.023	5903	60	60	2.512	0.137	0.137	NA	NA	NA	4.147	0.017	0.017	NA	NA	NA	3.9246997	MS	G	NA	eker14	1.10262934690416	1.51515151515152	1.01643232254786	5.45382165605096	EB
290	ZZ_UMa B	0.96	0.01	0.01	1.158	0.013	0.013	5097	60	60	0.813	0.044	0.044	NA	NA	NA	4.293	0.015	0.015	NA	NA	NA	4.4530327	PMS	K	NA	eker14	1.04166666666667	1.12262521588946	1.17716303708064	5.41205412054121	EB
291	EPIC201367296	1.15	0.04	0.04	1.73	0.04	0.04	5718	71	71	2.7	0.342211612410021	0.342211612410021	0.21	0.08	0.08	4.018	0.013	0.013	0.220864995383851	0.0106526525104751	0.0106526525104751	4.0459672	MS	G	NA	lund16	3.47826086956522	2.3121387283237	1.24169289961525	12.6745041633341	A
292	EPIC201367904	1.3	0.05	0.05	2.08	0.05	0.05	6251	78	78	6.664	0.597819169052716	0.597819169052716	-0.02	0.08	0.08	3.916	0.013	0.013	0.144876074142461	0.00710176834031674	0.00710176834031674	3.6965857	MS	F	NA	lund16	3.84615384615385	2.40384615384615	1.24780035194369	8.97087588614519	A
293	EPIC201820830	1.29	0.08	0.08	1.74	0.05	0.05	6420	71	71	4.555	0.353974438320162	0.353974438320162	-0.07	0.11	0.11	4.063	0.016	0.016	0.243590654072864	0.0120730061785385	0.0120730061785385	3.5858062	MS	F	NA	lund16	6.2015503875969	2.8735632183908	1.10591900311526	7.77111829462485	A
294	EPIC201860743	1.14	0.05	0.05	1.88	0.03	0.03	5926	78	78	4.119	0.374560308738028	0.374560308738028	-0.02	0.11	0.11	3.945	0.014	0.014	0.170442440167602	0.00852212200838009	0.00852212200838009	3.9096232	MS	G	NA	lund16	4.3859649122807	1.59574468085106	1.31623354708066	9.09347678412305	A
295	EPIC204356572	1.18	0.07	0.07	1.5	0.04	0.04	6316	78	78	3.422	0.297267427373032	0.297267427373032	-0.07	0.08	0.08	4.157	0.015	0.015	0.350117179177615	0.0170442440167602	0.0170442440167602	3.6539782	MS	F	NA	lund16	5.93220338983051	2.66666666666667	1.23495883470551	8.68694995245564	A
296	EPIC204506926	1.08	0.05	0.05	1.41	0.02	0.02	5705	78	78	2.374	0.207373528160854	0.207373528160854	0.38	0.08	0.08	4.172	0.013	0.013	0.385626020879199	0.0170442440167602	0.0170442440167602	4.0544887	MS	G	NA	lund16	4.62962962962963	1.41843971631206	1.36722173531989	8.73519495201577	A
297	EPIC204550630	1.17	0.04	0.04	1.37	0.03	0.03	6199	65	65	3.635	0.304111216365601	0.304111216365601	-0.13	0.08	0.08	4.228	0.014	0.014	0.450252112776081	0.0213053050209502	0.0213053050209502	3.7306717	MS	F	NA	lund16	3.41880341880342	2.18978102189781	1.04855621874496	8.36619577346908	A
298	EPIC204624076	1.22	0.05	0.05	1.83	0.04	0.04	6381	71	71	6.112	0.478281180350465	0.478281180350465	-0.13	0.11	0.11	4	0.014	0.014	0.1995596903629	0.00852212200838009	0.00852212200838009	3.6113707	MS	F	NA	lund16	4.09836065573771	2.18579234972678	1.11267826359505	7.82528109212148	A
299	EPIC204926239	1.44	0.05	0.05	2.45	0.05	0.05	6225	71	71	6.714	0.596776978402461	0.596776978402461	0.1	0.08	0.08	3.817	0.012	0.012	0.0972942262623393	0.00426106100419004	0.00426106100419004	3.7136287	MS	F	NA	lund16	3.47222222222222	2.04081632653061	1.14056224899598	8.88854599944089	A
300	EPIC205917956	1.06	0.11	0.11	2.56	0.12	0.12	5185	71	71	4.579	0.431715442821083	0.431715442821083	-0.35	0.08	0.08	3.664	0.012	0.012	0.063205738228819	0.00355088417015837	0.00355088417015837	4.3953487	PMS	K	NA	lund16	10.377358490566	4.6875	1.36933461909354	9.42815992184065	A
301	EPIC205962429	1.15	0.04	0.04	1.79	0.04	0.04	6082	65	65	4.372	0.372936224763376	0.372936224763376	-0.24	0.08	0.08	3.99	0.012	0.012	0.1995596903629	0.00781194517434841	0.00781194517434841	3.8073652	MS	F	NA	lund16	3.47826086956522	2.23463687150838	1.06872739230516	8.530105781413	A
302	EPIC205967173	0.95	0.08	0.08	2.65	0.11	0.11	5016	52	52	3.603	0.37869252507843	0.37869252507843	-0.3	0.08	0.08	3.572	0.013	0.013	0.0518429088843122	0.0028407073361267	0.0028407073361267	4.5061282	PMS	K	NA	lund16	8.42105263157895	4.15094339622642	1.03668261562998	10.5104780760042	A
303	EPIC205974115	1.15	0.04	0.04	1.36	0.03	0.03	6121	71	71	3.386	0.460929317911396	0.460929317911396	-0.07	0.08	0.08	4.23	0.012	0.012	0.455223350614303	0.0177544208507919	0.0177544208507919	3.7818007	MS	F	NA	lund16	3.47826086956522	2.20588235294118	1.15994118608071	13.6127973393797	A
304	EPIC205979004	1.07	0.06	0.06	2.22	0.06	0.06	5588	84	84	8.324	2.74920060577796	2.74920060577796	-0.35	0.08	0.08	3.777	0.014	0.014	0.0987145799304027	0.00497123783822172	0.00497123783822172	4.1311822	PMS	G	NA	lund16	5.60747663551402	2.7027027027027	1.50322118826056	33.0273979550452	A
305	EPIC205995584	1.31	0.07	0.07	1.71	0.04	0.04	6433	71	71	4.784	0.38291610691645	0.38291610691645	-0.07	0.08	0.08	4.082	0.013	0.013	0.257794190753498	0.0113628293445068	0.0113628293445068	3.5772847	MS	F	NA	lund16	5.34351145038168	2.33918128654971	1.10368412871133	8.00409922484219	A
306	EPIC206009487	1.03	0.05	0.05	1.49	0.04	0.04	5926	71	71	1.949	0.164977135740432	0.164977135740432	-0.24	0.08	0.08	4.101	0.012	0.012	0.30963709963781	0.0127831830125701	0.0127831830125701	3.9096232	MS	G	NA	lund16	4.85436893203883	2.68456375838926	1.1981100236247	8.4647068106943	A
307	EPIC206064678	1.01	0.04	0.04	0.98	0.02	0.02	5562	71	71	0.9558	0.0889516392597488	0.0889516392597488	0.26	0.11	0.11	4.453	0.013	0.013	1.05319224486897	0.0426106100419004	0.0426106100419004	4.1482252	MS	G	NA	lund16	3.96039603960396	2.04081632653061	1.27651923768429	9.30651174510869	A
308	EPIC206064711	1.27	0.05	0.05	1.57	0.03	0.03	6563	71	71	3.997	0.308407549090577	0.308407549090577	-0.18	0.08	0.08	4.147	0.011	0.011	0.32668134365457	0.0120730061785385	0.0120730061785385	3.4920697	MS	F	NA	lund16	3.93700787401575	1.91082802547771	1.08182233734573	7.71597570904621	A
309	EPIC206070413	1.23	0.07	0.07	1.52	0.04	0.04	6446	71	71	3.855	0.316837613447796	0.316837613447796	-0.13	0.08	0.08	4.16	0.014	0.014	0.34798664867552	0.0156238903486968	0.0156238903486968	3.5687632	MS	F	NA	lund16	5.69105691056911	2.63157894736842	1.10145826869376	8.21887453820483	A
310	EPIC206078331	0.94	0.04	0.04	1.13	0.03	0.03	5809	78	78	1.423	0.123992980527382	0.123992980527382	-0.18	0.11	0.11	4.306	0.012	0.012	0.656203394645267	0.0255663660251403	0.0255663660251403	3.9863167	MS	G	NA	lund16	4.25531914893617	2.65486725663717	1.34274401790325	8.71349125280268	A
311	EPIC206088888	1.08	0.06	0.06	1.3	0.03	0.03	5965	71	71	2.132	0.17966884307268	0.17966884307268	-0.02	0.08	0.08	4.242	0.012	0.012	0.491442369149918	0.0198849513528869	0.0198849513528869	3.8840587	MS	G	NA	lund16	5.55555555555556	2.30769230769231	1.19027661357921	8.42724404656098	A
312	EPIC206094605	1.4	0.11	0.11	2.01	0.07	0.07	6537	78	78	6.616	0.579248511148907	0.579248511148907	0.04	0.08	0.08	3.979	0.014	0.014	0.172572970669697	0.00781194517434841	0.00781194517434841	3.5091127	MS	F	NA	lund16	7.85714285714286	3.48258706467662	1.19320789352914	8.75526770176704	A
313	EPIC206107253	1.16	0.03	0.03	1.31	0.02	0.02	6290	65	65	2.481	0.20841508252867	0.20841508252867	-0.18	0.08	0.08	4.267	0.01	0.01	0.516298558341027	0.0184645976848235	0.0184645976848235	3.6710212	MS	F	NA	lund16	2.58620689655172	1.52671755725191	1.03338632750397	8.40044669603668	A
314	EPIC206108325	1.3	0.05	0.05	2.15	0.05	0.05	6433	71	71	7.835	3.43972966891016	3.43972966891016	-0.18	0.11	0.11	3.887	0.014	0.014	0.13138271429586	0.00639159150628506	0.00639159150628506	3.5772847	MS	F	NA	lund16	3.84615384615385	2.32558139534884	1.10368412871133	43.9021017091277	A
315	EPIC206184719	1.44	0.06	0.06	2.78	0.08	0.08	5822	84	84	12.87	1.13826427749362	1.13826427749362	-0.02	0.11	0.11	3.706	0.013	0.013	0.0667566223989774	0.00355088417015837	0.00355088417015837	3.9777952	PMS	G	NA	lund16	4.16666666666667	2.87769784172662	1.44280316042597	8.84432228044774	A
316	EPIC206189649	1.17	0.06	0.06	2	0.05	0.05	6082	78	78	8.906	1.59769482996764	1.59769482996764	-0.18	0.11	0.11	3.907	0.012	0.012	0.14842695831262	0.00639159150628506	0.00639159150628506	3.8073652	MS	F	NA	lund16	5.12820512820513	2.5	1.2824728707662	17.9395332356573	A
317	EPIC206201061	1.41	0.1	0.1	1.97	0.06	0.06	6589	71	71	5.989	0.54400862162162	0.54400862162162	-0.02	0.11	0.11	3.997	0.013	0.013	0.183935800014204	0.00781194517434841	0.00781194517434841	3.4750267	MS	F	NA	lund16	7.09219858156028	3.04568527918782	1.07755349825467	9.08346337655068	A
318	EPIC206245055	0.88	0.04	0.04	0.93	0.02	0.02	5835	71	71	1.027	0.0881553234679514	0.0881553234679514	-0.35	0.08	0.08	4.444	0.012	0.012	1.09580285491087	0.0426106100419004	0.0426106100419004	3.9692737	MS	G	NA	lund16	4.54545454545455	2.1505376344086	1.21679520137104	8.5837705421569	A
319	EPIC206289767	1.36	0.08	0.08	2.06	0.06	0.06	6368	78	78	6.726	0.567887631238488	0.567887631238488	0.04	0.11	0.11	3.94	0.013	0.013	0.154108372984873	0.00639159150628506	0.00639159150628506	3.6198922	MS	F	NA	lund16	5.88235294117647	2.9126213592233	1.2248743718593	8.44317025332275	A
320	EPIC206368174	1.32	0.08	0.08	1.78	0.05	0.05	6212	65	65	4.479	0.385317387049338	0.385317387049338	0.1	0.06	0.06	4.05	0.013	0.013	0.230807471060294	0.00923229884241176	0.00923229884241176	3.7221502	MS	F	NA	lund16	6.06060606060606	2.80898876404494	1.04636188023181	8.60275479011695	A
321	EPIC206371648	0.83	0.03	0.03	0.93	0.02	0.02	5549	65	65	1.218	0.192773285125266	0.192773285125266	-0.24	0.08	0.08	4.421	0.016	0.016	1.03330729351609	0.0589446772246289	0.0589446772246289	4.1567467	MS	G	NA	lund16	3.6144578313253	2.1505376344086	1.17138223103262	15.8270349035523	A
322	EPIC206445085	1.18	0.04	0.04	1.86	0.04	0.04	5718	71	71	3.478	0.303061164574273	0.303061164574273	0.26	0.11	0.11	3.968	0.011	0.011	0.181805269512109	0.00781194517434841	0.00781194517434841	4.0459672	PMS	G	NA	lund16	3.38983050847458	2.1505376344086	1.24169289961525	8.71366200616081	A
323	EPIC206453540	1.42	0.08	0.08	1.87	0.05	0.05	6524	78	78	6.053	0.502935081754122	0.502935081754122	-0.02	0.11	0.11	4.044	0.011	0.011	0.215893757545629	0.00852212200838009	0.00852212200838009	3.5176342	MS	F	NA	lund16	5.63380281690141	2.67379679144385	1.19558553034948	8.30885646380508	A
324	KIC10003270	1.416	0.207465659809039	0.103232746742494	2.362	0.114947814246292	0.0984784240328814	6594	69	69	9.847	0.935283684854657	0.935283684854657	-0.181	0.1	0.1	3.848	0.0221359436211787	0.0230867927612304	0.1086	0.00810268924493591	0.00791751034100998	3.4717492	MS	F	NA	serenelli17	10.9709889319044	4.51791359608749	1.04640582347589	9.49815867629386	A
325	KIC10016239	1.264	0.0540370243444252	0.0596405902049938	1.298	0.0246981780704569	0.0255538646783613	6482	51	51	2.567	0.211327209888464	0.211327209888464	-0.005	0.1	0.1	4.312	0.010770329614269	0.010770329614269	0.5763	0.0184830611371602	0.0174825040826536	3.5451652	MS	F	NA	serenelli17	4.49674108185993	1.93574895026264	0.786794199321197	8.23245850753659	A
326	KIC10018963	1.254	0.0445533388198909	0.046690470119715	1.965	0.0272029410174709	0.0284253408071038	6271	46	46	5.266	0.446821090674345	0.446821090674345	-0.219	0.1	0.1	3.949	0.0058309518948453	0.0058309518948453	0.1655	0.00199184135914485	0.00196952176936433	3.6834757	MS	F	NA	serenelli17	3.63811040429051	1.41547790902226	0.733535321320364	8.48501881265373	A
327	KIC10019747	1.168	0.0509901951359278	0.0556057550978314	1.7	0.0292061637330205	0.0308058436014987	5769	65	65	2.721	0.231861813052369	0.231861813052369	0.204	0.1	0.1	4.044	0.0106301458127346	0.0106301458127346	0.2377	0.00659521311255368	0.00654374548710446	4.0125367	MS	G	NA	serenelli17	4.56318280110271	1.76505903925056	1.12671173513607	8.52119856862805	A
328	KIC10024648	1.444	0.087692645073575	0.13729530217746	2	0.0504479930225178	0.0602079728939615	6409	157	157	5.875	0.502415649551589	0.502415649551589	-0.006	0.1	0.1	3.994	0.0143178210632764	0.0161554944214035	0.1802	0.00615858795829044	0.00593933915852597	3.5930167	MS	F	NA	serenelli17	7.79044138680869	2.76639914791198	2.44968013730691	8.55175573704832	A
329	KIC10025841	1.121	0.133195345264014	0.0966488489326179	1.521	0.0945568612000208	0.0850940655980192	5738	187	187	3.181	0.271735078378362	0.271735078378362	0.197	0.1	0.1	4.127	0.0362215405525497	0.0392045915678253	0.3193	0.0449092151345356	0.040844652085677	4.0328572	MS	G	NA	serenelli17	10.251748180046	5.90568464161867	3.25897525270129	8.5424419483924	A
330	KIC10068307	1.469	0.0095	0.0209	2.0823	0.018	0.018	6132	77	77	6.294	0.2	0.173	-0.23	0.1	0.1	3.9666	0.0044	0.0044	0.162767559122221	0.00286840423265393	0.00307080463035296	3.7745902	MS	F	NA	silva17	1.03471749489449	0.864428756663305	1.25570776255708	2.96313949793454	A
331	KIC10070754	1.201	0.0552177507691141	0.056859475903318	1.284	0.0286356421265527	0.0286356421265527	6550	58	58	2.492	0.206873468067021	0.206873468067021	-0.21	0.099	0.099	4.299	0.0148660687473185	0.0148660687473185	0.5657	0.0260648158443523	0.0262609715166823	3.5005912	MS	F	NA	serenelli17	4.66599611458918	2.23019019677202	0.885496183206107	8.3015035339896	A
332	KIC10074716	1.217	0.0742495791233863	0.0920869154657707	1.465	0.046518813398452	0.0456179789118282	6064	91	91	2.686	0.2247932580903	0.2247932580903	0.11	0.1	0.1	4.189	0.019313207915828	0.0202484567313166	0.3864	0.0517320867934013	0.0183471170487355	3.8191642	MS	F	NA	serenelli17	6.83387405871639	3.14460042014608	1.50065963060686	8.36907141065898	A
